index,mean,sem
1,85.51,0.31
2,88.97,0.34
3,90.76,0.15
4,91.11,0.04
5,90.76,0.13
6,91.11,0.16
7,88.45,0.04
8,91.93,0.20
9,91.19,0.26
10,92.02,0.11
11,92.41,0.11
12,92.41,0.11
13,90.45,0.04
14,91.93,0.13
15,92.80,0.28
16,92.49,0.16
17,92.71,0.13
18,92.97,0.13
19,91.76,0.24
20,92.10,0.24
21,93.19,0.04
22,93.23,0.08
23,93.66,0.16
24,93.14,0.23
