index,mean,sem
1,83.16,0.12
2,83.81,0.41
3,83.20,1.36
4,83.98,0.00
5,82.55,1.59
6,83.20,0.93
7,82.94,1.12
8,83.33,0.32
9,83.55,0.34
10,83.85,0.49
11,83.98,0.37
12,84.50,0.37
13,83.76,0.50
14,83.99,0.95
15,84.20,0.33
16,84.29,1.14
17,84.68,0.55
18,84.86,0.22
19,84.42,0.69
20,85.07,0.92
21,85.07,0.40
22,85.46,0.40
23,84.68,0.48
24,85.29,1.02
